track_id,zone,error_type
129454367,matagalls,5
129492172,matagalls,1
129496472,matagalls,5
129507731,matagalls,3
129514536,matagalls,2
129514550,matagalls,5
129525795,matagalls,1
129534723,matagalls,5
129536660,matagalls,5
129538291,matagalls,3
129564852,matagalls,3
129592424,matagalls,1
129601943,matagalls,5
129607669,matagalls,5
129626627,matagalls,3
129699102,matagalls,5
129704756,matagalls,5
129744103,matagalls,1
129767744,matagalls,5
129890374,matagalls,5
129891529,matagalls,5
129900094,matagalls,3
129909653,matagalls,5
129909818,matagalls,5
129964313,matagalls,3
129969872,matagalls,5
129992217,matagalls,1
129998555,matagalls,5
130002103,matagalls,1
130025192,matagalls,5
130030221,matagalls,2
130039717,matagalls,5
130042592,matagalls,3
130046504,matagalls,3
130048930,matagalls,1
130050306,matagalls,5
130057710,matagalls,5
130059300,matagalls,3
130060586,matagalls,1
130065285,matagalls,1
130067494,matagalls,1
130105827,matagalls,5
130118788,matagalls,1
130121753,matagalls,5
130129787,matagalls,5
130179747,matagalls,1
130186935,matagalls,5
130199233,matagalls,5
130199875,matagalls,5
130202925,matagalls,1
130207545,matagalls,5
130208357,matagalls,1
130211608,matagalls,1
130220662,matagalls,3
130221809,matagalls,3
130224362,matagalls,1
130232096,matagalls,1
130233063,matagalls,2
130300682,matagalls,3
130308953,matagalls,5
130312368,matagalls,5
130312736,matagalls,5
130315530,matagalls,1
130318128,matagalls,5
130372366,matagalls,1
130374522,matagalls,5
130385511,matagalls,1
130390064,matagalls,1
130485382,matagalls,1
130503293,matagalls,5
130505049,matagalls,3
130523548,matagalls,1
130550751,matagalls,3
130559579,matagalls,5
130559805,matagalls,5
130566902,matagalls,3
130567054,matagalls,2
130575236,matagalls,3
130578680,matagalls,1
130590448,matagalls,5
130597748,matagalls,5
130669959,matagalls,1
130676356,matagalls,5
130679934,matagalls,5
130682885,matagalls,1
130692730,matagalls,5
130710968,matagalls,3
130712191,matagalls,3
130712548,matagalls,3
130719949,matagalls,3
130721391,matagalls,5
130725939,matagalls,5
130727447,matagalls,5
130729420,matagalls,1
130748512,matagalls,5
130751473,matagalls,5
130758343,matagalls,3
130761669,matagalls,1
130845363,matagalls,1
130851593,matagalls,2
130854500,matagalls,3
